S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Alert Notice,Disso-Avg (Avg % dissolved in 30mins: 85% (Q),Disso - Min,Disso-Stage,DS -UNIT 01,DS - UNIT 02,DS - UNIT 03,DS - UNIT 04,DS - UNIT 05,DS - UNIT 06,DS - UNIT 07,DS - UNIT 08,DS - UNIT 09,DS - UNIT 10,DS - UNIT 11,DS - UNIT 12,CU - Acceptance Value (<=15.0),CU - Percent of Label,CU - Std Deviation,Potency Assay (289.8 - 315.0 mg (mg/capsule),Total Impurities (<=0.05%),NUMBER CRITICAL,NUMBER MAJOR,NUMBER MINOR,NUMBER NONCRITICAL,Total Number Defects
143,2H5003P-CHEM-0077062,2H5003P,,1196782A1,NO,100,97,S1,101,101,102,102,99,97,,,,,,,2.2,101.8,0.8,305.5,<0.05,0,0,0,11,11
144,2H5004P-CHEM-0077067,2H5004P,,1196782A1,NO,99,97,S1,99,98,101,97,97,100,,,,,,,2.6,100.9,1.1,302.8,<0.05,0,0,0,0,0
145,2H5005P-CHEM-0077072,2H5005P,,1196782A1,NO,100,99,S1,100,99,99,102,101,102,,,,,,,3.2,102.3,1,307,<0.05,0,0,0,0,0
146,2H5006P-CHEM-0077076,2H5006P,,1196782A1,NO,100,93,S1,102,93,103,101,102,99,,,,,,,2.9,102.7,0.7,308.2,<0.05,0,0,0,1,1
147,2H5007P-CHEM-0077080,2H5007P,,1196782A1,NO,100,99,S1,100,100,100,99,100,101,,,,,,,1.9,100.8,0.8,302.4,<0.05,0,0,0,0,0
148,2H5008P-CHEM-0077084,2H5008P,,1196782A1,NO,100,98,S1,102,101,98,100,101,98,,,,,,,3.8,101.9,1.4,305.8,<0.05,0,0,0,0,0
149,2H5009P-CHEM-0077088,2H5009P,,1196782A1,NO,100,99,S1,99,101,99,100,100,101,,,,,,,3.5,101.6,1.4,304.9,<0.05,0,0,0,4,4
150,2H5010P-CHEM-0077092,2H5010P,,1196782A1,NO,99,98,S1,99,99,99,101,98,101,,,,,,,2.9,100.2,1.2,300.5,<0.05,0,0,0,3,3
151,2H5072P-CHEM-0079492,2H5072P,,1196782A1,NO,101,99,S1,101,101,99,100,102,103,,,,,,,2.4,100.3,1,300.8,<0.05,0,0,0,7,7
152,2H5073P-CHEM-0079496,2H5073P,,1196782A1,NO,101,99,S1,101,103,99,101,101,100,,,,,,,3.1,99.7,1.3,299,<0.05,0,0,2,1,3
153,2H5074P-CHEM-0079500,2H5074P,,1196782A1,NO,101,99,S1,101,102,102,103,100,99,,,,,,,3,98.4,1.2,295.3,<0.05,0,0,2,0,2
154,2H5075P-CHEM-0079504,2H5075P,,1196782A1,NO,101,98,S1,101,102,102,101,102,98,,,,,,,2.9,100.4,1.2,301.2,<0.05,0,0,0,0,0
155,2H5076P-CHEM-0079508,2H5076P,,1196782A1,NO,100,98,S1,101,100,101,101,98,99,,,,,,,2.9,101.4,1.2,304.2,<0.05,0,0,0,0,0
156,2H5077P-CHEM-0079512,2H5077P,,1196782A1,NO,100,98,S1,101,103,101,98,99,101,,,,,,,2.4,99.6,1,298.8,<0.05,0,0,0,0,0
157,2H5078P-CHEM-0079516,2H5078P,,1196782A1,NO,100,95,S1,101,102,101,100,102,95,,,,,,,3.8,102.4,1.2,307.3,<0.05,0,0,0,0,0
158,2H5079P-CHEM-0079520,2H5079P,,1196782A1,NO,102,101,S1,103,101,101,103,104,102,,,,,,,3.2,103,0.7,309.1,<0.05,0,0,0,8,8
159,2H5080P-CHEM-0079524,2H5080P,,1196782A1,NO,102,101,S1,101,101,102,103,103,102,,,,,,,3.9,101.8,1.5,305.3,<0.05,0,0,1,0,1
160,2H5081P-CHEM-0079528,2H5081P,,1196782A1,NO,100,98,S1,101,102,98,100,102,99,,,,,,,3,101.9,1.1,305.6,<0.05,0,0,0,8,8
161,2H5082P-CHEM-0079532,2H5082P,,1196782A1,NO,101,98,S1,100,101,102,98,102,101,,,,,,,3,102.6,0.8,307.9,<0.05,0,0,0,1,1
162,2H5083P-CHEM-0079536,2H5083P,,1196782A1,NO,100,98,S1,100,101,99,101,99,98,,,,,,,3,101.9,1.1,305.6,<0.05,0,0,0,0,0
163,2H5084P-CHEM-0079540,2H5084P,,1196782A1,NO,100,99,S1,100,103,100,100,101,99,,,,,,,3.4,101.8,1.3,305.4,<0.05,0,0,0,0,0
164,2H5085P-CHEM-0079544,2H5085P,,1196782A1,NO,101,99,S1,101,101,102,102,99,101,,,,,,,2.6,101.2,1.1,303.7,<0.05,0,0,0,0,0
165,2H5086P-CHEM-0079548,2H5086P,,1196782A1,NO,100,98,S1,100,98,101,102,101,100,,,,,,,2.8,101.7,1.1,305,<0.05,0,0,0,0,0
166,2H5120P-CHEM-0080947,2H5120P,,1196782A1,NO,99,97,S1,98,101,101,100,99,97,,,,,,,3.4,101.5,1.4,304.4,<0.05,0,0,0,0,0
167,2H5121P-CHEM-0080951,2H5121P,,1196782A1,NO,98,87,S2,100,99,100,100,87,101,100,99,101,97,98,99,1.9,101.2,0.8,303.6,<0.05,0,0,7,0,7
168,2J5004P-CHEM-0081894,2J5004P,,1196782A1,NO,99,92,S1,102,101,100,92,101,101,,,,,,,4,101.9,1.5,305.8,<0.05,0,0,0,0,0
169,2J5005P-CHEM-0081898,2J5005P,,1196782A1,NO,100,98,S1,99,98,100,101,102,100,,,,,,,4.2,101.9,1.6,305.8,<0.05,0,0,0,0,0
170,2J5006P-CHEM-0081902,2J5006P,,1196782A1,NO,100,95,S1,95,102,101,101,98,101,,,,,,,3.1,101.7,1.2,305,<0.05,0,0,0,0,0
171,2J5007P-CHEM-0081906,2J5007P,,1196782A1,NO,101,100,S1,100,102,101,100,102,100,,,,,,,2.8,102.6,0.7,307.9,<0.05,0,0,0,0,0
172,2J5008P-CHEM-0081910,2J5008P,,1196782A1,NO,99,98,S1,100,99,98,101,100,99,,,,,,,2.2,101.3,0.9,303.9,<0.05,0,0,0,0,0
173,2J5009P-CHEM-0081914,2J5009P,,1196782A1,NO,100,99,S1,99,100,101,102,102,100,,,,,,,2.4,101.1,1,303.2,<0.05,0,0,1,1,2
174,2J5010P-CHEM-0081918,2J5010P,,1196782A1,NO,101,99,S1,102,102,101,103,99,101,,,,,,,2.6,100.8,1.1,302.3,0.05,0,0,0,0,0
175,2J5011P-CHEM-0081922,2J5011P,,1196782A1,NO,100,99,S1,100,100,99,100,101,100,,,,,,,2.6,100.2,1.1,300.7,0.05,0,0,0,0,0
176,2J5012P-CHEM-0081926,2J5012P,,1196782A1,YES,100,99,S1,100,100,101,99,100,100,,,,,,,1.7,99.7,0.7,299.1,<0.05,0,0,0,0,0
177,2J5013P-CHEM-0081930,2J5013P,,1196782A1,NO,101,99,S1,99,99,101,101,101,103,,,,,,,2.2,100.7,0.9,302.2,<0.05,0,0,0,0,0
178,2J5014P-CHEM-0081938,2J5014P,,1196782A1,NO,100,98,S1,99,102,102,98,99,99,,,,,,,3.1,99.7,1.3,299,<0.05,0,0,0,0,0
179,2J5015P-CHEM-0081942,2J5015P,,1196782A1,NO,98,93,S1,101,93,100,93,100,99,,,,,,,2.2,100.3,0.9,300.8,<0.05,0,0,0,0,0
180,2J5016P-CHEM-0081946,2J5016P,,1196782A1,NO,99,96,S1,101,101,97,100,96,100,,,,,,,1.9,101,0.8,303.1,<0.05,0,0,1,0,1
181,2J5017P-CHEM-0081950,2J5017P,,1196782A1,NO,99,98,S1,100,98,98,100,100,98,,,,,,,2.6,100.5,1.1,301.6,<0.05,0,0,1,0,1
182,2J5018P-CHEM-0081954,2J5018P,,1196782A1,NO,102,101,S1,103,102,104,102,101,102,,,,,,,3.9,102.5,1.2,307.4,<0.05,0,0,0,0,0
183,2J5071P-CHEM-0082954,2J5071P,,1196782A1,NO,101,99,S1,100,102,102,100,102,99,,,,,,,3.8,102.9,1,308.6,<0.05,0,0,0,0,0
184,2J5072P-CHEM-0082958,2J5072P,,1196782A1,NO,102,100,S1,102,101,100,103,100,103,,,,,,,2.9,101.8,1.1,305.5,<0.05,0,0,0,0,0
185,2J5073P-CHEM-0082962,2J5073P,,1196782A1,NO,97,94,S1,99,98,94,99,95,100,,,,,,,3.2,102.3,1,306.8,<0.05,0,0,0,0,0
186,2J5074P-CHEM-0082966,2J5074P,,1196782A1,NO,100,88,S2,103,100,103,101,88,101,99,98,103,97,103,101,3.5,102.1,1.2,306.3,<0.05,0,0,0,0,0
187,2J5075P-CHEM-0082970,2J5075P,,1196782A1,NO,101,100,S1,101,101,103,102,101,100,,,,,,,1.7,101.3,0.7,303.8,<0.05,0,0,0,0,0
188,2J5076P-CHEM-0082974,2J5076P,,1196782A1,NO,101,97,S1,100,103,102,99,97,102,,,,,,,2.4,100.8,1,302.4,<0.05,0,0,0,0,0
189,2J5077P-CHEM-0082978,2J5077P,,1196782A1,NO,100,99,S1,99,99,100,99,101,100,,,,,,,2.6,100.5,1.1,301.4,<0.05,0,0,1,1,2
190,2J5078P-CHEM-0082982,2J5078P,,1196782A1,NO,102,100,S1,100,103,103,103,103,101,,,,,,,1.9,100.7,0.8,302,<0.05,0,0,0,0,0
191,2J5079P-CHEM-0082986,2J5079P,,1196782A1,YES,100,98,S1,101,98,100,101,102,100,,,,,,,3.4,100.8,1.4,302.5,<0.05,0,0,0,1,1
192,2J5086P-CHEM-0083014,2J5086P,,1196782A1,NO,100,98,S1,99,101,98,101,102,100,,,,,,,2.4,100.5,1,301.4,<0.05,0,0,0,4,4
193,2J5087P-CHEM-0083018,2J5087P,,1196782A1,NO,102,101,S1,101,103,102,102,102,101,,,,,,,1.9,101.3,0.8,303.8,<0.05,0,0,0,0,0
194,2K5001P-CHEM-0085045,2K5001P,,1196782A1,NO,100,88,S2,88,101,100,100,101,97,102,102,100,100,101,101,2.2,100.6,0.9,301.8,<0.05,0,0,0,0,0
195,2K5002P-CHEM-0085049,2K5002P,,1196782A1,NO,99,98,S1,98,99,100,100,101,98,,,,,,,2.6,100.2,1.1,300.5,<0.05,0,0,0,0,0
196,2K5003P-CHEM-0085053,2K5003P,,1196782A1,NO,101,99,S1,99,103,102,100,102,102,,,,,,,1,100.9,0.4,302.6,<0.05,0,0,0,0,0
197,2K5004P-CHEM-0085057,2K5004P,,1196782A1,NO,101,99,S1,99,100,101,105,100,101,,,,,,,2.6,100,1.1,300,<0.05,0,0,0,0,0
198,2K5005P-CHEM-0085061,2K5005P,,1196782A1,NO,99,87,S2,87,101,102,100,100,101,100,101,94,99,102,103,2.2,100.5,0.9,301.6,<0.05,0,0,0,0,0
199,2K5011P-CHEM-0085090,2K5011P,,1196782A1,NO,101,97,S1,103,101,102,101,97,102,,,,,,,2.8,101.9,1,305.8,<0.05,0,0,0,1,1
200,2K5012P-CHEM-0085094,2K5012P,,1196782A1,NO,100,85,S2,101,99,103,85,102,102,103,101,102,100,103,102,2.6,101.7,1,305.2,<0.05,0,0,0,3,3
201,2K5013P-CHEM-0085098,2K5013P,,1196782A1,NO,101,96,S1,96,103,102,104,102,101,,,,,,,2.5,102.1,0.8,306.4,<0.05,0,0,0,0,0
202,2K5014P-CHEM-0085102,2K5014P,,1196782A1,NO,100,98,S1,98,101,101,101,101,100,,,,,,,2.6,101.2,1.1,303.5,<0.05,0,0,0,0,0
203,2K5015P-CHEM-0085106,2K5015P,,1196782A1,NO,98,93,S1,96,98,103,100,100,93,,,,,,,3.1,102,1.1,306,<0.05,0,0,0,0,0
204,2K5016P-CHEM-0085110,2K5016P,,1196782A1,NO,97,91,S1,91,94,99,103,93,102,,,,,,,5.1,103.2,1.4,309.5,<0.05,0,0,0,2,2
205,2K5065P-CHEM-0086972,2K5065P,,1196782A1,YES,101,98,S1,98,100,102,101,101,103,,,,,,,2.4,101.7,0.9,305.1,<0.05,0,0,0,0,0
206,2K5066P-CHEM-0086976,2K5066P,,1196782A1,NO,99,98,S1,98,100,102,99,100,98,,,,,,,3.6,102.2,1.2,306.5,<0.05,0,0,0,0,0
207,2K5067P-CHEM-0086980,2K5067P,,1196782A1,NO,102,99,S1,99,104,100,102,102,103,,,,,,,3.2,102.3,1,307,<0.05,0,0,0,0,0
208,2K5068P-CHEM-0086984,2K5068P,,1196782A1,NO,100,98,S1,100,101,103,98,99,100,,,,,,,3.4,102.3,1.1,307,<0.05,0,0,0,0,0
209,2K5069P-CHEM-0086988,2K5069P,,1196782A1,NO,100,90,S1,101,102,102,102,100,90,,,,,,,3,101.6,1.2,304.7,<0.05,0,0,0,0,0
210,2K5070P-CHEM-0086992,2K5070P,,1196782A1,NO,101,99,S1,100,102,100,102,99,102,,,,,,,3.1,101.7,1.2,305,<0.05,0,0,0,0,0
211,2K5071P-CHEM-0086996,2K5071P,,1196782A1,NO,101,99,S1,99,104,99,102,101,100,,,,,,,1.9,100.7,0.8,302.2,<0.05,0,0,0,0,0
212,2K5072P-CHEM-0087000,2K5072P,,1196782A1,NO,99,96,S1,98,97,101,102,96,103,,,,,,,2.4,101.2,1,303.6,<0.05,0,0,0,0,0
213,2K5073P-CHEM-0087004,2K5073P,,1196782A1,NO,101,97,S1,102,103,101,104,99,97,,,,,,,2.7,101.8,1,305.5,<0.05,0,0,0,0,0
214,2K5074P-CHEM-0087008,2K5074P,,1196782A1,NO,100,98,S1,98,100,98,104,100,101,,,,,,,2.4,100.9,1,302.8,<0.05,0,0,0,0,0
215,2K5075P-CHEM-0087785,2K5075P,,1196782A1,NO,101,99,S1,100,99,100,102,102,101,,,,,,,3.3,101.9,1.2,305.7,<0.05,0,0,0,0,0
216,2K5076P-CHEM-0087789,2K5076P,,1196782A1,NO,99,97,S1,99,98,97,102,99,101,,,,,,,3.4,101.5,1.4,304.6,<0.05,0,0,0,0,0
217,2K5078P-CHEM-0087798,2K5078P,,1196782A1,NO,100,97,S1,100,101,99,103,97,99,,,,,,,2.7,102.3,0.8,306.9,<0.05,0,0,0,0,0
218,2K5079P-CHEM-0087802,2K5079P,,1196782A1,NO,100,99,S1,100,99,104,99,99,101,,,,,,,3,102.3,0.9,306.9,<0.05,0,0,0,0,0
219,2K5080P-CHEM-0087806,2K5080P,,1196782A1,NO,99,92,S1,101,100,100,92,102,100,,,,,,,2.6,101.3,1.1,304,<0.05,0,0,0,1,1
220,2L5001P-CHEM-0088503,2L5001P,,1196782A1,NO,101,99,S1,100,99,99,104,102,101,,,,,,,3.7,101.6,1.5,304.7,<0.05,0,0,0,0,0
221,2L5002P-CHEM-0088507,2L5002P,,1196782A1,NO,100,98,S1,100,102,102,98,100,99,,,,,,,2.7,102,0.9,306,<0.05,0,0,0,0,0
222,2L5060P-CHEM-0091058,2L5060P,,1196782A1,NO,99,93,S1,96,100,93,102,99,102,,,,,,,2.9,102,1,306.1,<0.05,0,0,0,0,0
223,2L5061P-CHEM-0091062,2L5061P,,1196782A1,NO,98,78,S2,101,101,78,101,102,102,96,102,97,100,101,99,2.3,102.6,0.5,307.7,<0.05,0,0,0,0,0
224,2L5062P-CHEM-0091066,2L5062P,,1196782A1,NO,100,97,S1,100,100,99,97,102,101,,,,,,,1.9,101.4,0.8,304.1,<0.05,0,0,0,0,0
225,2L5063P-CHEM-0091070,2L5063P,,1196782A1,NO,99,92,S1,100,100,101,99,101,92,,,,,,,2.7,102,0.9,306,<0.05,0,0,0,0,0
226,2M5012P-CHEM-0092171,2M5012P,,1196782A1,NO,101,100,S1,100,101,100,102,100,103,,,,,,,3.4,100.2,1.4,300.6,<0.05,0,0,0,0,0
227,3A5001P-CHEM-0094130,3A5001P,1/4/2013,1196782A1,NO,100,97,S1,101,99,102,102,97,97,,,,,,,2.9,101,1.2,303,<0.05,0,0,0,0,0
228,3A5002P-CHEM-0094134,3A5002P,1/8/2013,1196782A1,NO,102,100,S1,100,103,102,101,101,103,,,,,,,5,102.9,1.5,308.6,<0.05,0,0,0,0,0
229,3A5003P-CHEM-0094138,3A5003P,1/8/2013,1196782A1,NO,101,99,S1,99,100,101,103,101,104,,,,,,,4.8,102.5,1.6,307.4,<0.05,0,0,0,0,0
230,3A5004P-CHEM-0094142,3A5004P,1/8/2013,1196782A1,NO,99,97,S1,99,98,97,99,102,102,,,,,,,2.4,100.7,1,302.2,<0.05,0,0,0,0,0
231,3A5005P-CHEM-0094146,3A5005P,1/9/2013,1196782A1,NO,101,93,S1,93,103,103,104,103,99,,,,,,,4,102.4,1.3,307.2,<0.05,0,0,0,0,0
232,3A5006P-CHEM-0094150,3A5006P,1/9/2013,1196782A1,NO,100,96,S1,96,103,103,98,101,101,,,,,,,2.2,101.4,0.9,304.1,<0.05,0,0,0,0,0
233,3A5007P-CHEM-0094154,3A5007P,1/10/2013,1196782A1,NO,101,99,S1,99,102,99,103,102,100,,,,,,,2.5,101.6,1,304.8,<0.05,0,0,0,0,0
234,3A5008P-CHEM-0094158,3A5008P,1/10/2013,1196782A1,NO,101,100,S1,100,102,101,101,101,101,,,,,,,2.4,101.2,1,303.5,<0.05,0,0,0,0,0
235,3A5060P-CHEM-0096484,3A5060P,1/15/2013,1196782A1,NO,100,99,S1,99,101,101,99,101,101,,,,,,,3.2,102.1,1.1,306.2,<0.05,0,0,0,0,0
236,3A5061P-CHEM-0096488,3A5061P,1/15/2013,1196782A1,NO,100,97,S1,97,101,100,100,99,100,,,,,,,2.6,101.3,1.1,304,<0.05,0,0,0,0,0
237,3A5062P-CHEM-0096492,3A5062P,1/15/2013,1196782A1,NO,101,99,S1,99,102,101,102,102,102,,,,,,,3.8,101.9,1.4,305.8,<0.05,0,0,0,0,0
238,3A5063P-CHEM-0096496,3A5063P,1/16/2013,1196782A1,NO,101,98,S1,98,101,100,101,101,103,,,,,,,2.8,102.1,0.9,306.4,<0.05,0,0,0,0,0
239,3A5064P-CHEM-0096500,3A5064P,1/16/2013,1196782A1,NO,100,97,S1,97,100,99,105,101,99,,,,,,,3.9,102.5,1.2,307.4,<0.05,0,0,0,0,0
240,3A5065P-CHEM-0096504,3A5065P,1/17/2013,1196782A1,NO,100,96,S1,96,102,100,101,101,101,,,,,,,3,101.6,1.2,304.9,<0.05,0,0,0,0,0
241,3A5066P-CHEM-0096508,3A5066P,1/17/2013,1196782A1,NO,101,100,S1,101,101,103,100,101,102,,,,,,,2.6,101.5,1.1,304.4,<0.05,0,0,0,0,0
242,3A5067P-CHEM-0096512,3A5067P,1/23/2013,1196782A1,NO,100,97,S1,97,101,101,102,102,99,,,,,,,2.9,100.5,1.2,301.5,<0.05,0,0,0,0,0
243,3A5088P-CHEM-0098007,3A5088P,2/5/2013,1196782A1,NO,101,99,S1,101,102,101,101,99,103,,,,,,,2.5,101.6,1,304.9,<0.05,0,0,0,0,0
244,3B5001P-CHEM-0099018,3B5001P,2/5/2013,1196782A1,NO,101,100,S1,100,100,103,101,102,100,,,,,,,3.4,100.7,1.4,302,<0.05,0,0,1,0,1
245,3B5002P-CHEM-0099022,3B5002P,2/6/2013,1196782A1,NO,101,97,S1,100,102,100,97,102,103,,,,,,,2.4,100.4,1,301.1,<0.05,0,0,0,1,1
246,3B5003P-CHEM-0099026,3B5003P,2/6/2013,1196782A1,NO,100,98,S1,103,98,100,99,101,99,,,,,,,2.2,100.4,0.9,301.2,<0.05,0,0,0,0,0
247,3B5004P-CHEM-0099030,3B5004P,2/7/2013,1196782A1,NO,100,98,S1,100,100,98,101,101,102,,,,,,,2.2,100.6,0.9,301.7,<0.05,0,0,0,0,0
248,3B5005P-CHEM-0099034,3B5005P,2/12/2013,1196782A1,NO,101,97,S1,97,101,101,103,102,100,,,,,,,3.1,99.7,1.3,299.2,<0.05,0,0,0,0,0
249,3B5006P-CHEM-0099038,3B5006P,2/12/2013,1196782A1,NO,99,95,S1,95,100,103,100,99,99,,,,,,,2.4,100.5,1,301.4,<0.05,0,0,0,0,0
250,3B5007P-CHEM-0099042,3B5007P,2/13/2013,1196782A1,NO,100,98,S1,98,101,100,101,102,99,,,,,,,2.2,101.4,0.9,304.2,<0.05,0,0,0,1,1
251,3B5008P-CHEM-0099046,3B5008P,2/13/2013,1196782A1,NO,100,99,S1,99,100,100,102,100,102,,,,,,,2.2,101.8,0.8,305.4,<0.05,0,0,0,0,0
252,3B5009P-CHEM-0099050,3B5009P,2/14/2013,1196782A1,NO,100,99,S1,99,102,100,99,102,101,,,,,,,2.4,100.5,1,301.5,<0.05,0,0,1,0,1
253,3B5010P-CHEM-0099054,3B5010P,2/14/2013,1196782A1,NO,100,97,S1,97,100,101,99,101,103,,,,,,,4.1,102.7,1.2,308.1,<0.05,0,0,0,0,0
254,3B5011P-CHEM-0099058,3B5011P,2/20/2013,1196782A1,NO,100,96,S1,96,101,102,99,99,101,,,,,,,2.2,100,0.9,300.1,<0.05,0,0,1,0,1
255,3B5056P-CHEM-0100358,3B5056P,2/20/2013,1196782A1,NO,100,96,S1,96,99,101,100,101,102,,,,,,,1.9,100.7,0.8,302,<0.05,0,0,0,0,0
256,3B5057P-CHEM-0100362,3B5057P,2/21/2013,1196782A1,NO,100,97,S1,99,97,102,100,100,102,,,,,,,2.9,100.9,1.2,302.6,<0.05,0,0,0,0,0
257,3B5058P-CHEM-0100366,3B5058P,2/21/2013,1196782A1,NO,101,97,S1,97,101,103,104,101,102,,,,,,,2.9,101.5,1.2,304.5,<0.05,0,0,0,0,0
258,3B5059P-CHEM-0100370,3B5059P,2/22/2013,1196782A1,NO,100,97,S1,97,101,100,100,102,100,,,,,,,2.3,101.6,0.9,304.9,<0.05,0,0,0,0,0
259,3B5060P-CHEM-0100374,3B5060P,2/26/2002,1196782A1,NO,100,97,S1,98,97,100,102,101,102,,,,,,,2.2,101.5,0.9,304.4,<0.05,0,0,0,0,0
260,3B5061P-CHEM-0100378,3B5061P,2/26/2013,1196782A1,NO,100,98,S1,100,100,100,98,100,103,,,,,,,2.2,100.9,0.9,302.8,<0.05,0,0,0,0,0
261,3B5062P-CHEM-0100382,3B5062P,2/26/2013,1196782A1,NO,100,95,S1,95,102,100,101,101,101,,,,,,,2.6,101.1,1.1,303.4,<0.05,0,0,0,0,0
262,3B5063P-CHEM-0100386,3B5063P,2/27/2013,1196782A1,NO,102,101,S1,101,101,102,103,102,103,,,,,,,1.7,101.3,0.7,304,<0.05,0,0,0,0,0
263,3C5004P-CHEM-0100999,3C5004P,3/12/2013,1196782A1,NO,101,99,S1,101,101,101,102,103,99,,,,,,,3.5,102.1,1.2,306.4,<0.05,0,0,0,0,0
264,3C5005P-CHEM-0101003,3C5005P,3/12/2002,1196782A1,NO,101,99,S1,99,100,105,99,103,99,,,,,,,3.6,100.7,1.5,302.1,<0.05,0,0,2,0,2
265,3C5006P-CHEM-0101007,3C5006P,3/13/2013,1196782A1,NO,100,100,S1,100,100,100,101,101,101,,,,,,,2.4,101.4,1,304.1,<0.05,0,0,0,0,0
266,3C5007P-CHEM-0101011,3C5007P,3/13/2013,1196782A1,NO,100,99,S1,99,101,100,101,100,100,,,,,,,2.9,101.1,1.2,303.4,<0.05,0,0,0,0,0
267,3C5049P-CHEM-0101467,3C5049P,3/15/2013,1196782A1,NO,100,98,S1,99,102,100,98,100,103,,,,,,,2.6,100.8,1.1,302.3,<0.05,0,0,0,0,0
268,3C5050P-CHEM-0101471,3C5050P,3/18/2013,1196782A1,NO,100,98,S1,100,100,99,98,101,102,,,,,,,2.9,101,1.2,303,<0.05,0,0,3,2,5
269,3C5051P-CHEM-0101475,3C5051P,3/18/2013,1196782A1,NO,100,97,S1,97,101,101,103,99,99,,,,,,,2.7,101.6,1.1,304.7,<0.05,0,0,1,2,3
270,3C5052P-CHEM-0101479,3C5052P,3/19/2013,1196782A1,NO,101,98,S1,98,101,102,102,100,100,,,,,,,2.9,102.2,0.9,306.6,<0.05,0,0,0,0,0
271,3C5089P-CHEM-0104164,3C5089P,3/25/2013,1196782A1,NO,100,97,S1,97,101,99,101,101,103,,,,,,,3.2,102.1,1.1,306.2,<0.05,0,0,0,0,0
272,3C5090P-CHEM-0104168,3C5090P,3/25/2013,1196782A1,NO,101,99,S1,100,101,99,102,102,102,,,,,,,3.6,101.3,1.5,304,<0.05,0,0,0,1,1
273,3C5091P-CHEM-0104172,3C5091P,3/26/2013,1196782A1,YES,101,97,S1,99,103,97,101,102,101,,,,,,,2.3,101.9,0.8,305.8,<0.05,0,0,0,0,0
274,3C5092P-CHEM-0104176,3C5092P,3/26/2013,1196782A1,NO,101,99,S1,101,101,99,102,101,103,,,,,,,2,101.6,0.8,304.8,<0.05,0,0,0,0,0
275,3C5093P-CHEM-0104180,3C5093P,3/27/2013,1196782A1,NO,100,99,S1,101,99,100,100,100,99,,,,,,,3.1,101.7,1.2,305.2,<0.05,0,0,0,0,0
276,3C5094P-CHEM-0104184,3C5094P,3/27/2013,1196782A1,NO,100,96,S1,100,99,100,102,96,101,,,,,,,2.9,100.9,1.2,302.8,<0.05,0,0,0,0,0
277,3C5095P-CHEM-0104188,3C5095P,3/27/2013,1196782A1,NO,100,97,S1,99,101,102,97,101,99,,,,,,,2.6,100.5,1.1,301.6,<0.05,0,0,0,0,0
278,3C5096P-CHEM-0104192,3C5096P,3/28/2013,1196782A1,NO,99,95,S1,99,101,98,99,95,100,,,,,,,2.2,99.9,0.9,299.7,<0.05,0,0,0,0,0
279,3C5097P-CHEM-0104196,3C5097P,3/28/2013,1196782A1,NO,99,96,S1,96,98,99,101,101,99,,,,,,,2.6,100.6,1.1,301.9,<0.05,0,0,0,0,0
280,3C5122P-CHEM-0105308,3C5122P,3/28/2013,1196782A1,NO,100,98,S1,99,99,101,98,102,100,,,,,,,3.4,101.8,1.3,305.4,<0.05,0,0,0,1,1
281,3D5001P-CHEM-0105770,3D5001P,4/3/2013,1196782A1,NO,100,99,S1,100,99,99,102,99,103,,,,,,,2.6,100.5,1.1,301.5,<0.05,0,0,0,5,5
